from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
A0490,A0484,,,,,2,53
A0484,A0490,,,,,2,53
A1994,A2171,,,,,2,671
A2171,A1994,,,,,2,671
TB6408,A2171,,,,,2,478
A2171,TB6408,,,,,2,478
A2081,A2171,,,,,2,153
A2171,A2081,,,,,2,153
A6356,A2841,,,,,2,364
TB1326,A2171,,,,,2,641
A2171,TB1326,,,,,2,641
TB6278,A0484,,,,,2,72
A0484,TB6278,,,,,2,72
A2009,A0484,,,,,2,580
A0484,A2009,,,,,2,580
A2011,A0484,,,,,2,516
A0484,A2011,,,,,2,516
A6360,A2171,,,,,2,370
A2171,A6360,,,,,2,370
TB6277,A0484,,,,,2,89
A0484,TB6277,,,,,2,89
TB6276,A0484,,,,,2,261
TM6104,A2171,,,,,2,633
A2171,TM6104,,,,,2,633
A0384,A2171,,,,,2,637
A2171,A0384,,,,,2,637
A1026,A2841,,,,,2,659
A2841,A1026,,,,,2,659
TB2112,A2171,,,,,2,651
A2171,TB2112,,,,,2,651
A1326,A2171,,,,,2,649
A2171,A1326,,,,,2,649
A6494,A2171,,,,,2,595
TB2081,A2171,,,,,2,153
A2171,TB2081,,,,,2,153
A1481,A2411,,,,,2,596
A2411,A1481,,,,,2,596
A1500,A2411,,,,,2,253
A2411,A1500,,,,,2,253
TM0383,A2171,,,,,2,680
A2171,TM0383,,,,,2,680
A0284,A2171,,,,,2,506
A2171,A0284,,,,,2,506
A2086,A2171,,,,,2,344
A2171,A2086,,,,,2,344
TB0804,A2171,,,,,2,283
TB2088,TB0291,,,,,2,258
A6743,A1227,,,,,2,391
A2112,A2171,,,,,2,668
TB1306,TB0291,,,,,2,504
TB1345,A1325,,,,,2,364
A1325,TB1345,,,,,2,364
TB0308,TB0291,,,,,2,364
A1227,A6743,,,,,2,391
TB2113,A2171,,,,,2,706
TB0291,TB0308,,,,,2,364
TB6226,TB0291,,,,,2,311
TB1301,TB0291,,,,,2,533
TM1058,A2171,,,,,2,548
TB0385,A2171,,,,,2,460
A2171,TB0385,,,,,2,460
TM1304,TB0291,,,,,2,610
TB0291,TM1304,,,,,2,610
TB0291,TB6226,,,,,2,311
TB6169,A2171,,,,,2,617
A2171,TB6169,,,,,2,617
TM0672,TB0291,,,,,2,305
TB0291,TM0672,,,,,2,305
A0789,A0790,,,,,2,122
A0790,A0789,,,,,2,122
A2111,A2171,,,,,2,300
TB6407,A2171,,,,,2,430
A2171,TB6407,,,,,2,430
TB2170,A2171,,,,,2,53
A2171,TB2170,,,,,2,53
A6670,A2171,,,,,2,447
A2171,A6670,,,,,2,447
TB0291,TB2088,,,,,2,258
TB6170,A2171,,,,,2,625
