table_name,field_name,language,translation,record_id,record_sub_id,field_value
routes,long_name,en,AVTOSTANTSIYA GEO MILEV - UL. BOYAN MAGESNIK - AVTOSTANTSIYA GEO MILEV,,,АВТОСТАНЦИЯ ГЕО МИЛЕВ - УЛ. БОЯН МАГЕСНИК - АВТОСТАНЦИЯ ГЕО МИЛЕВ
routes,long_name,en,Grobishten park Malashevtsi - Stantsiia Orlandovtsi - Grobishten park Malashevtsi,,,Гробищен парк Малашевци - Станция Орландовци - Гробищен парк Малашевци
routes,long_name,en,Selo Voynegovtsi - TSENTRALNA GARA - Selo Voynegovtsi,,,Село Войнеговци - ЦЕНТРАЛНА ГАРА - Село Войнеговци
routes,long_name,en,UL. TODORINI KUKLI - Bul. Iliiantsi - UL. TODORINI KUKLI,,,УЛ. ТОДОРИНИ КУКЛИ - Бул. Илиянци - УЛ. ТОДОРИНИ КУКЛИ
routes,long_name,en,ZOOPARKA - HYUNDAY BALGARIYA - ZOOPARKA,,,ЗООПАРКА - ХЮНДАЙ БЪЛГАРИЯ - ЗООПАРКА
routes,long_name,en,BUL. PRAGA - KV. GORNA BANYA - BUL. PRAGA,,,БУЛ. ПРАГА - КВ. ГОРНА БАНЯ - БУЛ. ПРАГА
routes,long_name,en,ZH.k.Bаkston - SU. SV. KLIMENT OHRIDSKI - ZH.k.Bаkston,,,Ж.к.Бъкстон - СУ. СВ. КЛИМЕНТ ОХРИДСКИ - Ж.к.Бъкстон
routes,long_name,en,KV. TRIAGALNIKA - KV. ILIYANTSI - KV. TRIAGALNIKA,,,КВ. ТРИЪГЪЛНИКА - КВ. ИЛИЯНЦИ - КВ. ТРИЪГЪЛНИКА
routes,long_name,en,METROSTANTSIYA AKAD. A. T.- BALAN - ZH.K. LOZENETS - METROSTANTSIYA AKAD. A. T.- BALAN,,,МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН - Ж.К. ЛОЗЕНЕЦ - МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН
routes,long_name,en,Hotel Moreni - Zooparka - Hotel Moreni,,,Хотел Морени - Зоопарка - Хотел Морени
routes,long_name,en,ZH.K. BANISHORA - PL. STOTCHNA GARA - ZH.K. BANISHORA,,,Ж.К. БАНИШОРА - ПЛ. СТОЧНА ГАРА - Ж.К. БАНИШОРА
routes,long_name,en,Vitosha - Letishte Sofiia - Vitosha,,,Витоша - Летище София - Витоша
routes,long_name,en,"ZH.K. LYULIN 1,2 - ZH.K. MLADOST 4- vremenna - ZH.K. LYULIN 1,2",,,"Ж.К. ЛЮЛИН 1,2 - Ж.К. МЛАДОСТ 4- временна - Ж.К. ЛЮЛИН 1,2"
routes,long_name,en,NTS PO REHABILITATSIYA - MITNITSA SUHODOL - NTS PO REHABILITATSIYA,,,НЦ ПО РЕХАБИЛИТАЦИЯ - МИТНИЦА СУХОДОЛ - НЦ ПО РЕХАБИЛИТАЦИЯ
routes,long_name,en,PETA GRADSKA BOLNITSA - Kv. Kniazhevo - PETA GRADSKA BOLNITSA,,,ПЕТА ГРАДСКА БОЛНИЦА - Кв. Княжево - ПЕТА ГРАДСКА БОЛНИЦА
routes,long_name,en,METROSTANTSIYA SLIVNITSA - Kv. Gradoman - METROSTANTSIYA SLIVNITSA,,,МЕТРОСТАНЦИЯ СЛИВНИЦА - Кв. Градоман - МЕТРОСТАНЦИЯ СЛИВНИЦА
routes,long_name,en,ZH.k. Vrаbnitsa 2 - zh.k. Hadzhi Dimitаr - ZH.k. Vrаbnitsa 2,,,Ж.к. Връбница 2 - ж.к. Хаджи Димитър - Ж.к. Връбница 2
routes,long_name,en,zh.k. Liulin -5 - 18-TO SU UILYAM GLADSTON - zh.k. Liulin -5,,,ж.к. Люлин -5 - 18-ТО СУ УИЛЯМ ГЛАДСТОН - ж.к. Люлин -5
routes,long_name,en,GARA PODUYANE - AVTOSTANTSIYA IZTOK - GARA PODUYANE,,,ГАРА ПОДУЯНЕ - АВТОСТАНЦИЯ ИЗТОК - ГАРА ПОДУЯНЕ
routes,long_name,en,GARA SOFIYA SEVER - KV. OBELYA - GARA SOFIYA SEVER,,,ГАРА СОФИЯ СЕВЕР - КВ. ОБЕЛЯ - ГАРА СОФИЯ СЕВЕР
routes,long_name,en,HYUNDAY BALGARIYA - ZH.K. LYULIN-5 - HYUNDAY BALGARIYA,,,ХЮНДАЙ БЪЛГАРИЯ - Ж.К. ЛЮЛИН-5 - ХЮНДАЙ БЪЛГАРИЯ
routes,long_name,en,Hiunday Bаlgariia - SELO BALSHA - Hiunday Bаlgariia,,,Хюндай България - СЕЛО БАЛША - Хюндай България
routes,long_name,en,SELO BISTRITSA - NSBAL PO ONKOLOGIYA - SELO BISTRITSA,,,СЕЛО БИСТРИЦА - НСБАЛ ПО ОНКОЛОГИЯ - СЕЛО БИСТРИЦА
routes,long_name,en,ZHP GARA VERILA - GARA ISKAR - ZHP GARA VERILA,,,ЖП ГАРА ВЕРИЛА - ГАРА ИСКЪР - ЖП ГАРА ВЕРИЛА
routes,long_name,en,BUL. HRISTO BOTEV - ZH.k. Zapaden park - BUL. HRISTO BOTEV,,,БУЛ. ХРИСТО БОТЕВ - Ж.к. Западен парк - БУЛ. ХРИСТО БОТЕВ
routes,long_name,en,BALKANKAR AD - ZH.k. Zapaden park - BALKANKAR AD,,,БАЛКАНКАР АД - Ж.к. Западен парк - БАЛКАНКАР АД
routes,long_name,en,AP Malashevtsi - Avtostantsiia Iztok - AP Malashevtsi,,,АП Малашевци - Автостанция Изток - АП Малашевци
routes,long_name,en,NADLEZ NADEZHDA - ZH.k.Borovo - NADLEZ NADEZHDA,,,НАДЛЕЗ НАДЕЖДА - Ж.к.Борово - НАДЛЕЗ НАДЕЖДА
routes,long_name,en,ZH.k. Bаkston - Pl. Makedoniia - ZH.k. Bаkston,,,Ж.к. Бъкстон - Пл. Македония - Ж.к. Бъкстон
